seed,gen,best,champChanged,champAge,sigma,baseline
0,39,0.9655,0,39,0.1731,
0,39,1.0588,0,39,0.1731,
0,40,0.7962,1,0,0.1729,0.7847
0,40,0.8617,0,23,0.1729,0.9653
0,40,1.0214,0,5,0.1729,0.9722
0,40,0.9798,0,40,0.1729,0.9861
0,40,1.0734,0,40,0.1729,0.9583
0,41,0.8616,1,0,0.1728,
0,41,0.9166,0,24,0.1728,
0,41,0.9830,0,6,0.1728,
0,41,0.9297,0,41,0.1728,
0,41,1.0584,0,41,0.1728,
0,42,0.8023,0,1,0.1726,
0,42,0.7765,0,25,0.1726,
0,42,0.9944,0,7,0.1726,
0,42,0.9675,0,42,0.1726,
0,42,1.0740,0,42,0.1726,
0,43,0.7422,0,2,0.1724,
0,43,0.8790,0,26,0.1724,
0,43,1.0348,0,8,0.1724,
0,43,0.9697,0,43,0.1724,
0,43,1.0418,0,43,0.1724,
0,44,0.7263,0,3,0.1722,
0,44,0.9704,0,27,0.1722,
0,44,1.0064,0,9,0.1722,
0,44,0.9660,0,44,0.1722,
0,44,1.0583,0,44,0.1722,
0,45,0.7671,0,4,0.1721,0.7500
0,45,0.9115,0,28,0.1721,0.8750
0,45,1.0408,0,10,0.1721,0.9583
0,45,0.9323,0,45,0.1721,0.9861
0,45,1.0708,0,45,0.1721,0.9722
0,46,0.7499,0,5,0.1719,
0,46,0.9086,0,29,0.1719,
0,46,1.0324,0,11,0.1719,
0,46,0.9483,0,46,0.1719,
0,46,1.0425,0,46,0.1719,
0,47,0.8264,0,6,0.1717,
0,47,0.9127,0,30,0.1717,
0,47,1.0399,0,12,0.1717,
0,47,0.9635,0,47,0.1717,
0,47,1.0757,0,47,0.1717,
0,48,0.8664,1,0,0.1716,
0,48,0.8890,0,31,0.1716,
0,48,1.0275,0,13,0.1716,
0,48,0.9814,0,48,0.1716,
0,48,1.0753,0,48,0.1716,
0,49,0.7821,0,1,0.1714,
0,49,0.8950,0,32,0.1714,
0,49,1.0144,0,14,0.1714,
0,49,1.0416,0,49,0.1714,
0,49,1.0588,0,49,0.1714,
0,50,0.7226,0,2,0.1712,0.8472
0,50,0.8955,0,33,0.1712,0.9514
0,50,1.0034,0,15,0.1712,0.9306
0,50,0.9551,0,50,0.1712,0.9722
0,50,1.0658,0,50,0.1712,0.9722
0,51,0.7866,0,3,0.1710,
0,51,0.9336,0,34,0.1710,
0,51,1.0617,1,0,0.1710,
0,51,0.9578,0,51,0.1710,
0,51,1.0664,0,51,0.1710,
0,52,0.7588,0,4,0.1709,
0,52,0.8701,0,35,0.1709,
0,52,0.9867,0,1,0.1709,
0,52,0.9702,0,52,0.1709,
0,52,1.0560,0,52,0.1709,
0,53,0.8451,0,5,0.1707,
0,53,0.8734,0,36,0.1707,
0,53,1.0210,0,2,0.1707,
0,53,0.9776,0,53,0.1707,
0,53,1.0586,0,53,0.1707,
0,54,0.7890,0,6,0.1705,
